audit_id,conversation_id,turn_id,day_code,student_excerpt,reviewer_1_label,reviewer_2_label,final_label,review_note
A001,C0144,T0170,Lecture_material_ms203vsq_ob7vqp,tóm tắt cho tôi tất cả nội dung của buổi học hôm nay,,,,
A002,C0575,T0416,New learning material,r,,,,
A003,C0201,T0176,Lecture_material_ms203vsq_ob7vqp,Tôi cần tóm tắt những nội dung cần học,,,,
A004,C0387,T0086,Lecture_material_ms2lb2ke_c1je8j,đọc slide trang 28,,,,
A005,C0266,T1084,New learning material,Giải thích slide 4 cho tôi,,,,
A006,C0001,T0649,Lecture_material_ms2044ey_k6uor3,tóm tắt nội dung chính trong slide này,,,,
A007,C0314,T0820,Lecture_material_ms203vsq_ob7vqp,hãy tóm tắt 76 slide,,,,
A008,C0345,T0182,Lecture_material_ms203vsq_ob7vqp,cách tải toàn bộ slide,,,,
A009,C0020,T0122,New learning material,tóm tắt hết slice trong vài câu đi,,,,
A010,C0169,T0999,Lecture_material_ms2044ey_k6uor3,Giải thích đoạn bôi đen ở Trang 14.,,,,
A011,C0057,T0415,New learning material,"tóm tắt nội dung, đưa ra keyword cần nhớ",,,,
A012,C0064,T0864,Lecture_material_ms204i6x_gqwyya,oki bebi,,,,
A013,C0177,T0192,New learning material,tóm tắt ý,,,,
A014,C0264,T0735,New learning material,/tokens,,,,
A015,C0113,T0263,Lecture_material_ms5r18w1_oe5xlz,"Tóm tắt:Giải thích đoạn bôi đen ở Trang 3: ""Thiết kế sản phẩm AIcho sự không chắc chắnTìm vấn đề thật, thiết kế cho lúc AI sai, và cắt vừa đủ scope để một ý tưởng AI có thể chứngminh được giá trị thật.V I N U N I A I 2 0 K D AY 0 5Kéo đế...",,,,
A016,C0342,T0736,Lecture_material_ms4ahenz_7cpqa2,tóm tắt slide day04-prompt-engineering-tool-calling.pdf này,,,,
A017,C0323,T1074,Lecture_material_ms204i6x_gqwyya,tóm tắt tài liệu này,,,,
A018,C0581,T0443,day02-c301,tóm tắt toàn bộ slide,,,,
A019,C0467,T0511,Lecture_material_ms203vsq_ob7vqp,Giải thích đoạn bôi đen ở Trang 11.,,,,
A020,C0094,T1164,Lecture_material_ms204v3b_r9mo78,tóm tắt cho t tất cả từ trang 1 đến trang 44 bài này học về gì,,,,
A021,C0044,T0629,Day 1,Giải thích đoạn bôi đen ở Trang 5.,,,,
A022,C0327,T1211,day02-c301,đưa ra slide tổng quan bài lab: deliverables,,,,
A023,C0520,T1129,New learning material,tóm tắt ý chính toàn bộ slide,,,,
A024,C0556,T0422,New learning material,Mô tả tính khác biệt giữa AlphaGo va suy nghĩ của con người chơi cờ vây,,,,
A025,C0223,T0975,Lecture_material_ms204yc9_gxpg9y,Giải thích đoạn bôi đen ở Trang 10.,,,,
A026,C0469,T0448,Lecture_material_ms2039d0_hnxpxy,Tóm tắt toàn bộ bài giảng,,,,
A027,C0469,T0798,Lecture_material_ms2039d0_hnxpxy,Bạn hãy tóm tắt toàn bộ ý chính trong Day1,,,,
A028,C0050,T1165,Lecture_material_ms2lb2ke_c1je8j,Giải thích đoạn bôi đen ở Trang 11.,,,,
A029,C0368,T0616,Lecture_material_ms2044ey_k6uor3,tóm tắt slide 7,,,,
A030,C0378,T0586,New learning material,Giải thích đoạn bôi đen ở Trang 22.,,,,
A031,C0002,T0092,Lecture_material_ms4x7dx1_t0qyxg,"kỹ thuật tối ưu prompt, cơ chế gọi tool và cách xử lý ngữ cảnh",,,,
A032,C0165,T0519,day02-c301,Tóm tắt slide pdf day2 cho tôi,,,,
A033,C0039,T0453,Lecture_material_ms2lb2ke_c1je8j,Giải thích đoạn bôi đen ở Trang 17.,,,,
A034,C0144,T0247,Lecture_material_ms203vsq_ob7vqp,tải slide về kiểu gì,,,,
A035,C0363,T1167,Lecture_material_ms2lb2ke_c1je8j,"ý tôi là 10 slide, xin lỗi nhé",,,,
A036,C0174,T0839,New learning material,hello tên của tôi là gì,,,,
A037,C0175,T0186,Lecture_material_ms203vsq_ob7vqp,bạn hãy tóm tắt ý chính trong tài liệu này,,,,
A038,C0153,T0387,Lecture_material_ms4x7dx1_t0qyxg,Tóm tắt bài học hôm nay cho tôi,,,,
A039,C0507,T0593,day02-c301,Giải thích đoạn bôi đen ở Trang 8.,,,,
A040,C0265,T0948,Lecture_material_ms203vsq_ob7vqp,"Giải thích đoạn bôi đen ở Trang 12: ""Học viên gặp khó khăn ở công đoạn nào? Trợ giảng quá tải ở bước nào? Quy trình hiện tại đang xử lý ra sao? Giải pháp này xây dựng phục vụ ai? Khoan đã, bạn có hỏi không?— Cần thấu hiểu bản chất vấn đề...",,,,
A041,C0128,T0281,Lecture_material_ms2039d0_hnxpxy,Tóm tắt nội dung slide đầu tiên của Day 1 giúp mình.,,,,
A042,C0508,T0386,New learning material,tóm tắt toàn bộ slide,,,,
A043,C0469,T0968,Lecture_material_ms2039d0_hnxpxy,Bạn hãy đọc toàn bộ tài liệu và tóm tắt giúp tôi,,,,
A044,C0469,T1049,Lecture_material_ms2039d0_hnxpxy,"hãy bắt đầu cuộc trò chuyện mới quên các câu hỏi cũ của tôi đi, hãy tóm tắt lại những ý quan trọng trong tài liệu",,,,
